Ticker,Price,Market Cap,Date,Stablecoin
LTC,13.65,356989733.29,01/03/2014,False
AUR,15.73,166606057.75,01/03/2014,False
XRP,0.0138,107881540.93,01/03/2014,False
PPC,3.29,69789301.41,01/03/2014,False
DOGE,0.001057,58696933.28,01/03/2014,False
NXT,0.04572,45722673.27,01/03/2014,False
OMNI,51.95,32182674.22,01/03/2014,False
NMC,3.38,27554219.32,01/03/2014,False
XCP,4.75,12584472.93,01/03/2014,False
PTS,7.64,11873388.53,01/03/2014,False
QRK,0.04665,11552204.46,01/03/2014,False
FTC,0.2257,7895149.96,01/03/2014,False
MEC,0.3177,7113252.79,01/03/2014,False
XPM,1.48,6826620.45,01/03/2014,False
IFC,7.056e-05,6370440.57,01/03/2014,False
NVC,7.58,5461163.74,01/03/2014,False
WDC,0.1013,4731530.83,01/03/2014,False
VTC,1.69,3732472.04,01/03/2014,False
DASH,0.9373,3303524.56,01/03/2014,False
YBC,2.62,2936167.54,01/03/2014,False
MINT,0.000137,2488745.09,01/03/2014,False
MAX,0.3802,2427784.04,01/03/2014,False
DVC,0.0003047,1948729.74,01/03/2014,False
TIX,2.667e-05,1783447.04,01/03/2014,False
ZET,0.00895,1433458.82,01/03/2014,False
IXC,0.07055,1300129.3,01/03/2014,False
DGC,0.09401,1288590.86,01/03/2014,False
APC,0.0737,1109716.37,01/03/2014,False
NET,0.004937,1105730.74,01/03/2014,False
TIPS,6.463e-06,1069210.49,01/03/2014,False
CLR,0.1582,1042621.86,01/03/2014,False
ANC,1.35,1038844.69,01/03/2014,False
UNO,5.93,939229.16,01/03/2014,False
CACH,3.64,849587.37,01/03/2014,False
MNC,0.4665,757263.7,01/03/2014,False
PRT,0.001042,718269.23,01/03/2014,False
BIL,0.0001176,611156.66,01/03/2014,False
COL,1.921e-06,600921.14,01/03/2014,False
RDD,4.525e-05,582897.75,01/03/2014,False
SRC,0.4367,579165.23,01/03/2014,False
HUC,0.633,519215.67,01/03/2014,False
MAZA,0.006222,507038.24,01/03/2014,False
TAG,0.5272,503408.15,01/03/2014,False
MMC,0.1013,484444.64,01/03/2014,False
UTC,0.08013,480215.88,01/03/2014,False
MOON,1.784e-05,478203.17,01/03/2014,False
MEOW,6.814e-05,464851.11,01/03/2014,False
KARMA,1.697e-05,459513.01,01/03/2014,False
SXC,0.007339,456036.68,01/03/2014,False
GRCX,0.03609,453035.33,01/03/2014,False
BLK,0.005803,432168.13,01/03/2014,False
BTB,41.24,415784.32,01/03/2014,False
EXC,0.1188,412525.21,01/03/2014,False
EAC,0.0002443,384969.38,01/03/2014,False
LOT,4.527e-05,377423.95,01/03/2014,False
LEAF,2.828e-05,375190.42,01/03/2014,False
GLC,0.01152,345410.5,01/03/2014,False
CAT,0.2738,339069.57,01/03/2014,False
HBN,0.09726,313115.24,01/03/2014,False
TOP,2.651e-05,305302.45,01/03/2014,False
FLO,0.006996,289471.13,01/03/2014,False
I0C,0.01423,287991.74,01/03/2014,False
CBX,0.2909,274650.23,01/03/2014,False
DGB,0.0003937,265011.9,01/03/2014,False
DIME,2.058e-06,263683.02,01/03/2014,False
FZ,0.04317,260748.55,01/03/2014,False
YAC,0.01462,256596.74,01/03/2014,False
FST,0.004064,249796.55,01/03/2014,False
RIC,0.4452,247935.81,01/03/2014,False
PMC,0.4848,241890.52,01/03/2014,False
PHS,0.13,230622.51,01/03/2014,False
TAK,0.00315,229297.95,01/03/2014,False
RED,0.005999,218762.84,01/03/2014,False
FLAP,1.697e-05,202340.35,01/03/2014,False
DEM,0.03855,194675.55,01/03/2014,False
CTM,5.656e-06,193001.74,01/03/2014,False
PND,1.697e-05,181300.83,01/03/2014,False
PTC,0.01408,178596.8,01/03/2014,False
KDC,0.02741,176269.45,01/03/2014,False
CORG,7.879e-06,171621.09,01/03/2014,False
DTC,0.09951,170511.44,01/03/2014,False
NOBL,0.0002388,161960.43,01/03/2014,False
ASC,0.0003094,136942.13,01/03/2014,False
PANDA,1.669e-05,131870.02,01/03/2014,False
JKC,0.01261,129131.53,01/03/2014,False
ICN,0.01499,120866.34,01/03/2014,False
42,70592.4,115680.73,01/03/2014,False
FRK,0.9174,114419.17,01/03/2014,False
BTE,0.05598,114262.36,01/03/2014,False
TEA,0.002813,112270.38,01/03/2014,False
Q2C,0.0005643,110149.95,01/03/2014,False
CON,0.01485,108040.41,01/03/2014,False
VEL,0.002257,104903.95,01/03/2014,False
NYAN,0.003655,100782.95,01/03/2014,False
ELC,0.3965,100701.1,01/03/2014,False
USDE,0.0002658,97381.79,01/03/2014,False
DMD,0.317,90697.75,01/03/2014,False
LKY,0.007012,90449.22,01/03/2014,False
QQC,0.004925,86523.58,01/03/2014,False
BLC,0.04779,84000.77,01/03/2014,False
RPC,2.82,80427.03,01/03/2014,False
GLC,0.002262,78534.32,01/03/2014,False
BTG,3.0,75533.13,01/03/2014,False
DUCK,2590.49,75514.43,01/03/2014,False
BET,0.009391,72674.25,01/03/2014,False
SBC,0.006647,72423.7,01/03/2014,False
BCX,0.00816,71052.27,01/03/2014,False
XJO,0.01335,64995.03,01/03/2014,False
PENG,1.698e-05,64186.46,01/03/2014,False
ARG,0.06791,62623.27,01/03/2014,False
CSC,0.004943,61514.01,01/03/2014,False
SMC,0.01249,60613.34,01/03/2014,False
ANI,6.787e-05,58942.28,01/03/2014,False
PXC,0.005357,56571.35,01/03/2014,False
MARS,0.0141,55405.29,01/03/2014,False
ORO,0.05085,51565.3,01/03/2014,False
XIV,9.459e-05,43233.64,01/03/2014,False
VOLT,1.131e-05,42205.05,01/03/2014,False
CASH,0.03399,40637.0,01/03/2014,False
TES,0.001284,37254.46,01/03/2014,False
DOPE,0.003139,36283.66,01/03/2014,False
GRA,3.637e-05,34602.48,01/03/2014,False
BEN,0.01391,33221.68,01/03/2014,False
CGA,1.87,32794.63,01/03/2014,False
CRC,0.08089,30698.41,01/03/2014,False
NRB,0.01323,28996.68,01/03/2014,False
PXL,0.05668,28885.48,01/03/2014,False
66,4638.0,27605.05,01/03/2014,False
PRC,0.1023,25697.29,01/03/2014,False
ZTC,0.008428,24864.89,01/03/2014,False
ETOK,0.09237,23703.87,01/03/2014,False
ASR,1.33,23136.96,01/03/2014,False
PAND,0.005148,16365.61,01/03/2014,False
ARI,0.0004319,12019.53,01/03/2014,False
UFO,3.394e-05,10007.73,01/03/2014,False
BTC,478.37,6023349256.85,01/04/2014,False
LTC,13.13,355878402.57,01/04/2014,False
XRP,0.008757,68458143.54,01/04/2014,False
PPC,2.06,43731555.64,01/04/2014,False
DOGE,0.000537,35541906.91,01/04/2014,False
AUR,3.09,32960252.91,01/04/2014,False
NXT,0.03002,30022074.62,01/04/2014,False
OMNI,34.38,21295097.4,01/04/2014,False
NMC,2.35,19763972.5,01/04/2014,False
PTS,6.14,9662160.21,01/04/2014,False
MTC,1.18,8540112.83,01/04/2014,False
XCP,2.17,5753085.39,01/04/2014,False
QRK,0.02041,5055525.56,01/04/2014,False
FTC,0.1282,4916055.9,01/04/2014,False
XPM,0.8458,4264788.07,01/04/2014,False
NVC,5.39,4065633.33,01/04/2014,False
XSV,0.2198,3862370.95,01/04/2014,False
VTC,1.15,3569110.43,01/04/2014,False
DASH,0.7241,2815060.81,01/04/2014,False
IFC,2.809e-05,2540987.14,01/04/2014,False
BTL,0.001006,2520150.55,01/04/2014,False
BLK,0.03113,2318760.46,01/04/2014,False
MEC,0.09344,2133260.76,01/04/2014,False
WDC,0.03803,1921178.95,01/04/2014,False
MINT,8.922e-05,1672639.32,01/04/2014,False
MAX,0.1077,1604855.34,01/04/2014,False
SPA,0.05465,1441055.46,01/04/2014,False
EFL,0.1109,1298675.98,01/04/2014,False
YBC,0.9524,1209050.48,01/04/2014,False
PTC,0.04744,950390.85,01/04/2014,False
ZET,0.005719,916649.69,01/04/2014,False
DVC,0.0001239,818033.08,01/04/2014,False
CLR,0.1065,761372.32,01/04/2014,False
ANC,0.8478,717202.64,01/04/2014,False
GRCE,0.04004,645709.44,01/04/2014,False
UTC,0.06062,627350.63,01/04/2014,False
IXC,0.0277,523321.06,01/04/2014,False
UNO,3.01,518019.48,01/04/2014,False
TIX,7.69e-06,514246.82,01/04/2014,False
FRC,0.01186,485953.64,01/04/2014,False
TRC,0.08108,474674.03,01/04/2014,False
RDD,2.653e-05,458918.75,01/04/2014,False
PRT,0.0006409,446223.25,01/04/2014,False
MAZA,0.002255,438841.7,01/04/2014,False
CBX,0.4589,434973.74,01/04/2014,False
DGC,0.02848,405178.42,01/04/2014,False
HVC,0.01869,372714.46,01/04/2014,False
UNC,0.04323,362623.41,01/04/2014,False
APC,0.0221,349495.1,01/04/2014,False
MONA,0.07235,340488.83,01/04/2014,False
POT,0.005239,332063.59,01/04/2014,False
KARMA,7.874e-06,331544.7,01/04/2014,False
MNC,0.1901,322537.25,01/04/2014,False
HBN,0.08158,300728.76,01/04/2014,False
EXE,0.07474,295031.17,01/04/2014,False
TIPS,1.407e-06,292597.44,01/04/2014,False
GLC,0.009487,288007.94,01/04/2014,False
BIL,4.192e-05,264129.22,01/04/2014,False
COL,8.41e-07,263129.86,01/04/2014,False
MEOW,2.972e-05,258356.35,01/04/2014,False
ZEIT,9.563e-06,257739.96,01/04/2014,False
BTCS,0.05274,247781.64,01/04/2014,False
SXC,0.003322,220899.88,01/04/2014,False
BTB,20.81,217104.83,01/04/2014,False
LEAF,1.411e-05,207246.47,01/04/2014,False
XMY,0.001877,203335.85,01/04/2014,False
SRC,0.1303,198154.95,01/04/2014,False
TAG,0.1729,196375.91,01/04/2014,False
APH,0.008624,194578.23,01/04/2014,False
FAIR,0.00388,193991.34,01/04/2014,False
NET,0.0007864,193545.05,01/04/2014,False
TOP,1.646e-05,189637.92,01/04/2014,False
CACH,0.7114,185383.78,01/04/2014,False
I0C,0.009089,184748.99,01/04/2014,False
GRCX,0.009264,182358.89,01/04/2014,False
HUC,0.134,168139.72,01/04/2014,False
EAC,7.904e-05,164244.37,01/04/2014,False
AIR,0.06229,163194.22,01/04/2014,False
ECC,1.503e-05,152847.89,01/04/2014,False
EXC,0.044,152739.85,01/04/2014,False
BQC,0.004566,152287.3,01/04/2014,False
LOT,1.435e-05,148793.37,01/04/2014,False
MOON,2.232e-06,144771.13,01/04/2014,False
HIRO,0.009406,142113.47,01/04/2014,False
MMC,0.02036,130978.49,01/04/2014,False
YAC,0.006117,118871.9,01/04/2014,False
DGB,0.0001305,116984.01,01/04/2014,False
DEL,0.00023,115361.76,01/04/2014,False
42,49178.66,112782.55,01/04/2014,False
FLT,0.0009813,96687.46,01/04/2014,False
PHS,0.05078,94385.51,01/04/2014,False
RIC,0.06416,94373.29,01/04/2014,False
FLO,0.002247,94289.27,01/04/2014,False
STL,0.04791,92614.94,01/04/2014,False
SLR,0.007466,91211.96,01/04/2014,False
MRY,0.004879,89780.41,01/04/2014,False
FST,0.00128,87472.85,01/04/2014,False
RED,0.002162,87411.57,01/04/2014,False
DUCK,2248.36,83189.39,01/04/2014,False
CAT,0.05861,80580.52,01/04/2014,False
SAT,1.377e-05,80125.19,01/04/2014,False
MRC,3.516e-06,75049.86,01/04/2014,False
Q2C,0.0003263,74467.87,01/04/2014,False
USDE,0.0001259,68682.24,01/04/2014,False
NOBL,7.625e-05,67991.99,01/04/2014,False
NOTE,0.0009531,61935.51,01/04/2014,False
BTE,0.02976,61361.52,01/04/2014,False
BLTZ,0.0006708,61306.91,01/04/2014,False
MARS,0.01253,58753.96,01/04/2014,False
GPUC,5.552e-05,58180.31,01/04/2014,False
DTC,0.03236,55444.0,01/04/2014,False
ICN,0.005729,55331.59,01/04/2014,False
BAT,8.438e-06,54689.02,01/04/2014,False
PANDA,4.784e-06,51458.68,01/04/2014,False
LKY,0.003521,48946.04,01/04/2014,False
DEM,0.008152,48827.94,01/04/2014,False
888,0.004538,48503.09,01/04/2014,False
PND,1.596e-06,45445.12,01/04/2014,False
NC2,0.0009075,45375.06,01/04/2014,False
KDC,0.006297,45155.52,01/04/2014,False
ELC,0.1387,44688.42,01/04/2014,False
66,4705.45,44005.48,01/04/2014,False
BTG,1.7,43387.4,01/04/2014,False
GLB,0.03349,42806.77,01/04/2014,False
EMO,1.076e-06,42689.52,01/04/2014,False
ARG,0.03637,41850.01,01/04/2014,False
ASC,8.904e-05,41104.16,01/04/2014,False
FRK,0.2892,40692.63,01/04/2014,False
GRUMP,2.541e-06,40193.95,01/04/2014,False
KRN,0.03284,40095.55,01/04/2014,False
RBY,0.003319,37571.75,01/04/2014,False
DMD,0.1086,35877.49,01/04/2014,False
RT2,2.84,35097.72,01/04/2014,False
GLC,0.0008611,33675.17,01/04/2014,False
BET,0.003573,33035.72,01/04/2014,False
NYAN,0.0007713,32745.62,01/04/2014,False
LTB,0.4258,32231.25,01/04/2014,False
FZ,0.004964,32160.17,01/04/2014,False
MTS,0.01215,31674.76,01/04/2014,False
CTM,4.949e-07,30994.15,01/04/2014,False
JKC,0.002644,27091.49,01/04/2014,False
DOPE,0.0007941,24999.1,01/04/2014,False
BCX,0.002618,24427.92,01/04/2014,False
CORG,5.384e-07,23452.49,01/04/2014,False
VEL,0.0004789,22764.98,01/04/2014,False
FLAP,6.566e-07,22143.25,01/04/2014,False
PMC,0.04426,22084.27,01/04/2014,False
TAK,0.0001257,21355.67,01/04/2014,False
GHC,0.0001102,20312.99,01/04/2014,False
RPC,0.5277,19950.78,01/04/2014,False
CASH,0.009165,18954.14,01/04/2014,False
BLC,0.008946,18724.53,01/04/2014,False
GAC,0.002535,18629.28,01/04/2014,False
CGA,0.6417,18327.01,01/04/2014,False
TEA,0.0004455,17970.56,01/04/2014,False
BEN,0.007387,17917.72,01/04/2014,False
ANI,1.435e-05,17203.11,01/04/2014,False
CSC,0.0009711,16230.92,01/04/2014,False
PXC,0.001325,15883.84,01/04/2014,False
SBC,0.001301,15348.78,01/04/2014,False
ZTC,0.004664,15223.35,01/04/2014,False
ZED,0.001524,14807.99,01/04/2014,False
QQC,0.0006573,13272.79,01/04/2014,False
LGBT,1.327e-05,13214.78,01/04/2014,False
NEC,0.002637,13101.2,01/04/2014,False
NRB,0.005535,12310.38,01/04/2014,False
XJO,0.002052,11968.33,01/04/2014,False
CRC,0.02545,11860.29,01/04/2014,False
SKC,0.002697,11836.76,01/04/2014,False
SUN,0.006209,11697.2,01/04/2014,False
PAWN,0.002039,10272.25,01/04/2014,False
EBT,7.666e-05,10240.05,01/04/2014,False
OSC,0.002405,10195.4,01/04/2014,False
BTC,457.76,5821427536.68,01/05/2014,False
LTC,11.1,310545854.64,01/05/2014,False
PPC,2.22,47441168.09,01/05/2014,False
XRP,0.005413,42319438.85,01/05/2014,False
DOGE,0.0005045,38085579.52,01/05/2014,False
NXT,0.02306,23055874.47,01/05/2014,False
OMNI,36.78,22783984.17,01/05/2014,False
NMC,2.24,19338333.29,01/05/2014,False
BLK,0.1137,8475473.37,01/05/2014,False
MAID,0.01406,6364977.87,01/05/2014,False
DASH,1.52,6351414.17,01/05/2014,False
PTS,3.68,6004760.34,01/05/2014,False
AUR,0.5473,5888435.01,01/05/2014,False
QRK,0.01843,4567902.87,01/05/2014,False
ZET,0.02766,4435928.51,01/05/2014,False
XPM,0.7903,4330486.05,01/05/2014,False
XCP,1.56,4138396.57,01/05/2014,False
FTC,0.09073,3775908.08,01/05/2014,False
VTC,0.8991,3561531.89,01/05/2014,False
NVC,3.16,2478133.35,01/05/2014,False
IFC,2.283e-05,2066601.17,01/05/2014,False
MEC,0.08356,1944012.5,01/05/2014,False
MAX,0.08052,1862627.18,01/05/2014,False
MTC,0.2444,1774433.47,01/05/2014,False
WDC,0.03145,1697930.99,01/05/2014,False
YBC,1.2,1685825.47,01/05/2014,False
IXC,0.0829,1603828.21,01/05/2014,False
BTL,0.0004574,1147794.47,01/05/2014,False
XWC,0.003591,1085564.28,01/05/2014,False
MINT,5.594e-05,1059970.42,01/05/2014,False
FLT,0.005225,963582.19,01/05/2014,False
HBN,0.2288,943319.91,01/05/2014,False
BIL,0.000125,920937.69,01/05/2014,False
PRT,0.001227,859228.94,01/05/2014,False
AC,0.005924,836768.75,01/05/2014,False
DVC,0.0001183,804428.25,01/05/2014,False
UTC,0.05143,728725.69,01/05/2014,False
XMY,0.003281,638466.76,01/05/2014,False
ANC,0.7188,630918.75,01/05/2014,False
CINNI,0.03983,597523.96,01/05/2014,False
TRC,0.08993,566952.51,01/05/2014,False
USDE,0.0007854,508724.51,01/05/2014,False
RDD,2.337e-05,505693.82,01/05/2014,False
APC,0.02868,481757.36,01/05/2014,False
DGC,0.03044,455105.07,01/05/2014,False
TIX,6.577e-06,439861.84,01/05/2014,False
FRC,0.0097,426802.86,01/05/2014,False
POT,0.004495,405290.84,01/05/2014,False
UNO,2.32,404558.58,01/05/2014,False
ZEIT,1.399e-05,379721.65,01/05/2014,False
NET,0.001438,372378.73,01/05/2014,False
CLR,0.04799,368444.1,01/05/2014,False
CBX,0.3799,360887.56,01/05/2014,False
DGB,0.0003296,352341.02,01/05/2014,False
GRCX,0.01905,349545.47,01/05/2014,False
EDU,4.574e-06,282929.76,01/05/2014,False
PTC,0.0103,279660.31,01/05/2014,False
MONA,0.04391,269649.94,01/05/2014,False
GLC,0.008242,253771.64,01/05/2014,False
CAIx,0.204,252690.52,01/05/2014,False
UNC,0.02996,251364.48,01/05/2014,False
KARMA,4.913e-06,244738.11,01/05/2014,False
LGD,0.1801,237431.29,01/05/2014,False
NAS,2.329e-05,232912.64,01/05/2014,False
QBC,0.01098,232576.11,01/05/2014,False
ECC,1.369e-05,230031.87,01/05/2014,False
MUN,0.009147,227259.68,01/05/2014,False
KAR,0.02094,222300.67,01/05/2014,False
SRC,0.1276,220331.54,01/05/2014,False
NOBL,0.000192,209428.48,01/05/2014,False
COL,6.657e-07,208300.35,01/05/2014,False
WATER,0.0004162,202058.83,01/05/2014,False
SAT,2.833e-05,197353.71,01/05/2014,False
DMD,0.5262,194427.25,01/05/2014,False
TIPS,7.815e-07,183525.35,01/05/2014,False
TAG,0.1369,180417.38,01/05/2014,False
EXC,0.05173,179578.46,01/05/2014,False
EMC2,0.002153,176788.61,01/05/2014,False
NLG,0.0008324,174524.24,01/05/2014,False
BQC,0.004856,171297.53,01/05/2014,False
MNC,0.09615,165504.27,01/05/2014,False
HUC,0.09705,164634.19,01/05/2014,False
NRS,0.08779,163243.59,01/05/2014,False
BTB,14.84,161576.55,01/05/2014,False
NC2,0.00269,161388.36,01/05/2014,False
SXC,0.002324,161139.77,01/05/2014,False
RED,0.003467,152312.38,01/05/2014,False
FAIR,0.002971,148582.79,01/05/2014,False
LEAF,9.121e-06,137521.33,01/05/2014,False
MMC,0.01954,134928.52,01/05/2014,False
SPA,0.004738,133518.02,01/05/2014,False
MRC,5.351e-06,132558.64,01/05/2014,False
GRCE,0.007803,131943.1,01/05/2014,False
I0C,0.006416,130749.46,01/05/2014,False
BTCS,0.02708,128781.89,01/05/2014,False
RIC,0.05288,123547.8,01/05/2014,False
MAZA,0.0004011,120399.84,01/05/2014,False
ISR,0.0501,116905.97,01/05/2014,False
PHS,0.05905,115428.71,01/05/2014,False
YAC,0.005309,112825.23,01/05/2014,False
CATC,0.01418,111217.49,01/05/2014,False
HIRO,0.003403,109744.36,01/05/2014,False
PND,3.533e-06,108107.67,01/05/2014,False
GRS,0.003941,107352.88,01/05/2014,False
FLAP,2.017e-06,101304.64,01/05/2014,False
DIEM,4.574e-06,98717.35,01/05/2014,False
FST,0.001291,96942.24,01/05/2014,False
MOON,9.991e-07,93351.33,01/05/2014,False
MEOW,9.196e-06,90743.88,01/05/2014,False
DEL,0.000178,89298.8,01/05/2014,False
XSV,0.004703,83388.71,01/05/2014,False
MRY,0.003709,75413.16,01/05/2014,False
SLR,0.004574,75400.49,01/05/2014,False
HVC,0.003331,74599.61,01/05/2014,False
EXE,0.0106,71995.79,01/05/2014,False
ZTC,0.01828,67056.85,01/05/2014,False
42,16987.48,64413.7,01/05/2014,False
KDC,0.008792,64361.46,01/05/2014,False
DEM,0.008794,63439.91,01/05/2014,False
365,1155.16,61891.34,01/05/2014,False
EAC,2.314e-05,61565.84,01/05/2014,False
CACH,0.2094,61417.0,01/05/2014,False
Q2C,0.0002488,59200.49,01/05/2014,False
NOTE,0.0007375,55918.26,01/05/2014,False
PAWN,0.008163,55504.42,01/05/2014,False
YC,0.002215,55202.76,01/05/2014,False
BET,0.005109,54805.78,01/05/2014,False
FRK,0.2149,54637.53,01/05/2014,False
LOT,4.578e-06,54079.56,01/05/2014,False
CESC,0.0001143,53273.99,01/05/2014,False
DTC,0.03105,53199.34,01/05/2014,False
